ID seqnames start end width strand source gene_id gene_type gene_name level hgnc_id havana_gene tag start_v38 end_v38 width_v38 gene_id_v38 gene_type_v38 gene_name_v38 level_v38 hgnc_id_v38 havana_gene_v38 tag_v38
934780 NDUFAF2 chr5 60945177 61154531 209355 + HAVANA ENSG00000164182.12 protein_coding NDUFAF2 2 HGNC:28086 OTTHUMG00000131221.4 NA NA NA NA NA NA NA NA NA NA NA
1913686 SORL1 chr11 121452314 121633763 181450 + HAVANA ENSG00000137642.13 protein_coding SORL1 1 HGNC:11185 OTTHUMG00000166057.4 NA NA NA NA NA NA NA NA NA NA NA
936739 CWC27 chr5 64766368 65102412 336045 + HAVANA ENSG00000153015.17 protein_coding CWC27 1 HGNC:10664 OTTHUMG00000074069.8 NA 64768930 65018750 249821 ENSG00000153015.16 NA NA NA NA NA NA
2943329 GFY chr19 49423749 49428987 5239 + HAVANA ENSG00000261949.7 protein_coding GFY 2 HGNC:44663 OTTHUMG00000177824.2 NA NA NA NA NA NA NA NA NA NA NA
1359205 MYOM2 chr8 2045046 2165552 120507 + HAVANA ENSG00000036448.10 protein_coding MYOM2 2 HGNC:7614 OTTHUMG00000129175.8 ncRNA_host NA NA NA NA NA NA NA NA NA NA
2731634 NOTUM chr17 81952507 81961840 9334 - HAVANA ENSG00000185269.12 protein_coding NOTUM 2 HGNC:27106 OTTHUMG00000154416.8 NA NA NA NA NA NA NA NA NA NA NA
883151 MAP9 chr4 155342658 155376970 34313 - HAVANA ENSG00000164114.19 protein_coding MAP9 2 HGNC:26118 OTTHUMG00000133628.8 NA NA NA NA NA NA NA NA NA NA NA
1474152 MAF1 chr8 144104461 144107611 3151 + HAVANA ENSG00000179632.10 protein_coding MAF1 2 HGNC:24966 OTTHUMG00000165244.4 NA NA NA NA NA NA NA NA NA NA NA
649492 FOXP1 chr3 70954693 71583978 629286 - HAVANA ENSG00000114861.24 protein_coding FOXP1 1 HGNC:3823 OTTHUMG00000158803.19 overlapping_locus 70954708 71583989 629282 ENSG00000114861.23 NA NA NA NA NA NA
941384 RAD17 chr5 69369293 69414801 45509 + HAVANA ENSG00000152942.19 protein_coding RAD17 1 HGNC:9807 OTTHUMG00000099357.12 NA NA NA NA NA NA NA NA NA NA NA
3233254 BEX2 chrX 103309346 103311007 1662 - HAVANA ENSG00000133134.12 protein_coding BEX2 2 HGNC:30933 OTTHUMG00000022095.3 NA NA NA NA NA NA NA NA NA NA NA
2186177 NFATC4 chr14 24365673 24379604 13932 + HAVANA ENSG00000100968.14 protein_coding NFATC4 2 HGNC:7778 OTTHUMG00000029351.13 NA NA NA NA NA NA NA NA NA NA NA
2440591 RRN3 chr16 15060033 15094311 34279 - HAVANA ENSG00000085721.13 protein_coding RRN3 2 HGNC:30346 OTTHUMG00000129847.2 NA NA NA NA NA NA NA NA NA NA NA
704224 PPP2R3A chr3 135965728 136147894 182167 + HAVANA ENSG00000073711.11 protein_coding PPP2R3A 2 HGNC:9307 OTTHUMG00000159766.3 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2136244 SETDB2 chr13 49444274 49495003 50730 + HAVANA ENSG00000136169.17 protein_coding SETDB2 2 HGNC:20263 OTTHUMG00000016918.4 overlapping_locus 49444374 NA 50630 ENSG00000136169.16 NA NA NA NA NA NA
298742 DESI2 chr1 244653103 244709033 55931 + HAVANA ENSG00000121644.19 protein_coding DESI2 2 HGNC:24264 OTTHUMG00000040398.3 NA NA NA NA NA NA NA NA NA NA NA
674252 COX17 chr3 119654513 119677454 22942 - HAVANA ENSG00000138495.7 protein_coding COX17 1 HGNC:2264 OTTHUMG00000159433.3 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1057274 ADTRP chr6 11712054 11807046 94993 - HAVANA ENSG00000111863.13 protein_coding ADTRP 2 HGNC:21214 OTTHUMG00000014260.4 NA NA NA NA NA NA NA NA NA NA NA
2497627 SETD6 chr16 58515479 58523842 8364 + HAVANA ENSG00000103037.12 protein_coding SETD6 1 HGNC:26116 OTTHUMG00000150276.6 NA NA NA NA NA NA NA NA NA NA NA
2420574 PKMYT1 chr16 2968024 2980479 12456 - HAVANA ENSG00000127564.17 protein_coding PKMYT1 1 HGNC:29650 OTTHUMG00000128975.4 NA NA NA NA NA NA NA NA NA NA NA
1798817 KBTBD4 chr11 47572197 47578976 6780 - HAVANA ENSG00000123444.14 protein_coding KBTBD4 1 HGNC:23761 OTTHUMG00000166894.5 ncRNA_host NA NA NA NA NA NA NA NA NA NA
1832344 FAM89B chr11 65572349 65574198 1850 + HAVANA ENSG00000176973.8 protein_coding FAM89B 2 HGNC:16708 OTTHUMG00000166499.2 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2900182 ZNF781 chr19 37667751 37692315 24565 - HAVANA ENSG00000196381.11 protein_coding ZNF781 1 HGNC:26745 OTTHUMG00000182106.3 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1089507 PHF1 chr6 33410399 33416453 6055 + HAVANA ENSG00000112511.18 protein_coding PHF1 2 HGNC:8919 OTTHUMG00000031105.11 NA NA NA NA NA NA NA NA NA NA NA
1945122 TPI1 chr12 6867119 6870948 3830 + HAVANA ENSG00000111669.15 protein_coding TPI1 2 HGNC:12009 OTTHUMG00000133767.4 NA NA NA NA NA NA NA NA NA NA NA
2924855 ZNF233 chr19 44259880 44275317 15438 + HAVANA ENSG00000159915.13 protein_coding ZNF233 1 HGNC:30946 OTTHUMG00000182354.2 NA NA NA NA NA NA NA NA NA NA NA
2807572 TMPRSS9 chr19 2360238 2426261 66024 + HAVANA ENSG00000178297.15 protein_coding TMPRSS9 2 HGNC:30079 OTTHUMG00000180431.6 NA NA 2426239 66002 ENSG00000178297.14 NA NA NA NA NA NA
219385 RGS5 chr1 163111121 163321791 210671 - HAVANA ENSG00000143248.13 protein_coding RGS5 1 HGNC:10001 OTTHUMG00000034441.6 overlapping_locus NA NA NA NA NA NA NA NA NA NA
545834 ANKMY1 chr2 240479422 240569209 89788 - HAVANA ENSG00000144504.16 protein_coding ANKMY1 1 HGNC:20987 OTTHUMG00000133355.9 NA NA NA NA ENSG00000144504.15 NA NA NA NA NA NA
883407 GUCY1A1 chr4 155666726 155737059 70334 + HAVANA ENSG00000164116.17 protein_coding GUCY1A1 2 HGNC:4685 OTTHUMG00000161700.3 NA NA NA NA NA NA NA NA NA NA NA
822880 PRKG2 chr4 81087370 81215222 127853 - HAVANA ENSG00000138669.10 protein_coding PRKG2 2 HGNC:9416 OTTHUMG00000130296.3 NA NA NA NA NA NA NA NA NA NA NA
2561420 PSMB6 chr17 4796144 4798502 2359 + HAVANA ENSG00000142507.10 protein_coding PSMB6 2 HGNC:9543 OTTHUMG00000090777.4 NA NA NA NA NA NA NA NA NA NA NA
762142 FBXO45 chr3 196568611 196589059 20449 + HAVANA ENSG00000174013.8 protein_coding FBXO45 2 HGNC:29148 OTTHUMG00000155571.3 NA NA NA NA NA NA NA NA NA NA NA
1247849 VSTM2A chr7 54542325 54571080 28756 + HAVANA ENSG00000170419.11 protein_coding VSTM2A 1 HGNC:28499 OTTHUMG00000129271.3 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1226006 CHN2 chr7 29146569 29514328 367760 + HAVANA ENSG00000106069.24 protein_coding CHN2 1 HGNC:1944 OTTHUMG00000023063.12 overlapping_locus NA NA NA ENSG00000106069.23 NA NA NA NA NA NA
948715 GCNT4 chr5 75025346 75052558 27213 - HAVANA ENSG00000176928.7 protein_coding GCNT4 2 HGNC:17973 OTTHUMG00000131272.3 NA NA NA NA NA NA NA NA NA NA NA
2953068 KLK8 chr19 50996007 51002711 6705 - HAVANA ENSG00000129455.16 protein_coding KLK8 2 HGNC:6369 OTTHUMG00000183086.3 overlapping_locus NA NA NA ENSG00000129455.15 NA NA NA NA NA NA
3045756 NELFCD chr20 58981208 58995133 13926 + HAVANA ENSG00000101158.15 protein_coding NELFCD 2 HGNC:15934 OTTHUMG00000032861.8 NA NA NA NA NA NA NA NA NA NA NA
2556701 SPATA22 chr17 3440019 3513852 73834 - HAVANA ENSG00000141255.13 protein_coding SPATA22 1 HGNC:30705 OTTHUMG00000177609.3 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1895978 PIH1D2 chr11 112063218 112074274 11057 - HAVANA ENSG00000150773.12 protein_coding PIH1D2 2 HGNC:25210 OTTHUMG00000166925.4 NA NA NA NA NA NA NA NA NA NA NA
135843 MTF2 chr1 93079235 93139079 59845 + HAVANA ENSG00000143033.18 protein_coding MTF2 2 HGNC:29535 OTTHUMG00000010161.8 NA NA NA NA NA NA NA NA NA NA NA
2095748 ZCCHC8 chr12 122471599 122501073 29475 - HAVANA ENSG00000033030.15 protein_coding ZCCHC8 2 HGNC:25265 OTTHUMG00000168878.6 ncRNA_host NA NA NA NA NA NA NA NA NA NA
901696 FAT1 chr4 186587794 186726722 138929 - HAVANA ENSG00000083857.15 protein_coding FAT1 1 HGNC:3595 OTTHUMG00000160320.10 NA NA NA NA ENSG00000083857.14 NA NA NA NA NA NA
1090821 IP6K3 chr6 33721662 33746905 25244 - HAVANA ENSG00000161896.12 protein_coding IP6K3 2 HGNC:17269 OTTHUMG00000014531.5 NA NA NA NA NA NA NA NA NA NA NA
2025003 MARS1 chr12 57475445 57517569 42125 + HAVANA ENSG00000166986.15 protein_coding MARS1 1 HGNC:6898 OTTHUMG00000169996.6 ncRNA_host NA NA NA NA NA NA NA NA NA NA
2489779 MT1A chr16 56638666 56640087 1422 + HAVANA ENSG00000205362.11 protein_coding MT1A 2 HGNC:7393 OTTHUMG00000176919.1 NA NA NA NA NA NA NA NA NA NA NA
1880864 CWC15 chr11 94962620 94973586 10967 - HAVANA ENSG00000150316.12 protein_coding CWC15 2 HGNC:26939 OTTHUMG00000181616.3 NA NA NA NA NA NA NA NA NA NA NA
2525570 MLKL chr16 74671855 74700960 29106 - HAVANA ENSG00000168404.13 protein_coding MLKL 1 HGNC:26617 OTTHUMG00000177356.7 NA NA NA NA NA NA NA NA NA NA NA
2876951 ZNF66 chr19 20776304 20809995 33692 + HAVANA ENSG00000160229.13 protein_coding ZNF66 1 HGNC:13135 OTTHUMG00000167735.6 NA NA NA NA NA NA NA NA NA NA NA
1940533 NOP2 chr12 6556863 6568691 11829 - HAVANA ENSG00000111641.12 protein_coding NOP2 1 HGNC:7867 OTTHUMG00000169163.2 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1724091 FANK1 chr10 125896564 126009592 113029 + HAVANA ENSG00000203780.12 protein_coding FANK1 2 HGNC:23527 OTTHUMG00000019241.7 NA NA NA NA NA NA NA NA NA NA NA
787279 NCAPG chr4 17810979 17844865 33887 + HAVANA ENSG00000109805.10 protein_coding NCAPG 2 HGNC:24304 OTTHUMG00000128539.4 NA NA NA NA NA NA NA NA NA NA NA
2039813 PTPRB chr12 70515870 70637440 121571 - HAVANA ENSG00000127329.16 protein_coding PTPRB 1 HGNC:9665 OTTHUMG00000169499.3 NA NA NA NA NA NA NA NA NA NA NA
403404 FAHD2B chr2 97083583 97094882 11300 - HAVANA ENSG00000144199.12 protein_coding FAHD2B 2 HGNC:25318 OTTHUMG00000130533.2 NA NA NA NA NA NA NA NA NA NA NA
220576 TMCO1 chr1 165724293 165827755 103463 - HAVANA ENSG00000143183.18 protein_coding TMCO1 1 HGNC:18188 OTTHUMG00000034672.4 NA NA NA NA NA NA NA NA NA NA NA
3055327 NPBWR2 chr20 64103802 64107565 3764 - HAVANA ENSG00000125522.4 protein_coding NPBWR2 2 HGNC:4530 OTTHUMG00000033032.1 retrogene NA NA NA NA NA NA NA NA NA NA
2636900 RAB5C chr17 42124978 42155044 30067 - HAVANA ENSG00000108774.15 protein_coding RAB5C 1 HGNC:9785 OTTHUMG00000169703.3 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2271706 AMN chr14 102922663 102933596 10934 + HAVANA ENSG00000166126.11 protein_coding AMN 2 HGNC:14604 OTTHUMG00000171897.2 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2689054 DDX42 chr17 63773603 63819317 45715 + HAVANA ENSG00000198231.14 protein_coding DDX42 2 HGNC:18676 OTTHUMG00000179011.5 NA NA NA NA ENSG00000198231.13 NA NA NA NA NA NA
250706 KDM5B chr1 202724495 202808487 83993 - HAVANA ENSG00000117139.18 protein_coding KDM5B 1 HGNC:18039 OTTHUMG00000041401.12 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2509858 PSMB10 chr16 67934506 67936864 2359 - HAVANA ENSG00000205220.12 protein_coding PSMB10 2 HGNC:9538 OTTHUMG00000137553.5 overlapping_locus NA NA NA NA NA NA NA NA NA NA
45726 STPG1 chr1 24356999 24416934 59936 - HAVANA ENSG00000001460.18 protein_coding STPG1 2 HGNC:28070 OTTHUMG00000003297.4 NA NA NA NA NA NA NA NA NA NA NA
2631020 RARA chr17 40309180 40357643 48464 + HAVANA ENSG00000131759.18 protein_coding RARA 1 HGNC:9864 OTTHUMG00000133328.6 NA NA NA NA NA NA NA NA NA NA NA
178899 PRPF3 chr1 150321479 150353233 31755 + HAVANA ENSG00000117360.13 protein_coding PRPF3 2 HGNC:17348 OTTHUMG00000012807.3 NA NA NA NA NA NA NA NA NA NA NA
1652441 DDX50 chr10 68901286 68946847 45562 + HAVANA ENSG00000107625.14 protein_coding DDX50 2 HGNC:17906 OTTHUMG00000018362.3 NA NA NA NA NA NA NA NA NA NA NA
2967934 PTPRH chr19 55181247 55209506 28260 - HAVANA ENSG00000080031.10 protein_coding PTPRH 2 HGNC:9672 OTTHUMG00000180701.3 NA NA NA NA NA NA NA NA NA NA NA
2536684 C16orf95 chr16 87083562 87317420 233859 - HAVANA ENSG00000260456.7 protein_coding C16orf95 2 HGNC:40033 OTTHUMG00000175680.1 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1228696 MINDY4 chr7 30771417 30892387 120971 + HAVANA ENSG00000106125.14 protein_coding MINDY4 2 HGNC:21916 OTTHUMG00000152800.6 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2825765 MAP2K7 chr19 7903843 7914478 10636 + HAVANA ENSG00000076984.18 protein_coding MAP2K7 2 HGNC:6847 OTTHUMG00000137368.3 NA NA NA NA NA NA NA NA NA NA NA
2540542 CDH15 chr16 89171748 89195492 23745 + HAVANA ENSG00000129910.8 protein_coding CDH15 2 HGNC:1754 OTTHUMG00000138045.4 NA NA NA NA NA NA NA NA NA NA NA
3052600 HELZ2 chr20 63558086 63574239 16154 - HAVANA ENSG00000130589.16 protein_coding HELZ2 2 HGNC:30021 OTTHUMG00000032969.3 NA NA NA NA NA NA NA NA NA NA NA
2948705 VRK3 chr19 49976468 50025946 49479 - HAVANA ENSG00000105053.11 protein_coding VRK3 1 HGNC:18996 OTTHUMG00000183053.5 NA NA NA NA NA NA NA NA NA NA NA
680333 SEC22A chr3 123201927 123274136 72210 + HAVANA ENSG00000121542.12 protein_coding SEC22A 2 HGNC:20260 OTTHUMG00000159495.17 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2984981 AP5S1 chr20 3820524 3828838 8315 + HAVANA ENSG00000125843.11 protein_coding AP5S1 2 HGNC:15875 OTTHUMG00000031760.5 overlapping_locus NA NA NA NA NA NA NA NA NA NA
81619 SLC2A1 chr1 42925353 42958893 33541 - HAVANA ENSG00000117394.24 protein_coding SLC2A1 2 HGNC:11005 OTTHUMG00000007657.12 NA NA NA NA NA NA NA NA NA NA NA
35907 MICOS10 chr1 19484403 19629821 145419 + HAVANA ENSG00000173436.15 protein_coding MICOS10 2 HGNC:32068 OTTHUMG00000002712.4 overlapping_locus NA NA NA NA NA NA NA NA NA NA
971061 FER chr5 108747841 109196841 449001 + HAVANA ENSG00000151422.14 protein_coding FER 2 HGNC:3655 OTTHUMG00000128751.6 overlapping_locus NA NA NA ENSG00000151422.13 NA NA NA NA NA NA
2697576 ABCA9 chr17 68974488 69060949 86462 - HAVANA ENSG00000154258.17 protein_coding ABCA9 2 HGNC:39 OTTHUMG00000140371.4 NA NA NA NA NA NA NA NA NA NA NA
725865 B3GALNT1 chr3 161083883 161105411 21529 - HAVANA ENSG00000169255.15 protein_coding B3GALNT1 1 HGNC:918 OTTHUMG00000159064.39 NA NA NA NA NA NA NA NA NA NA NA
215991 TOMM40L chr1 161225939 161230746 4808 + HAVANA ENSG00000158882.15 protein_coding TOMM40L 2 HGNC:25756 OTTHUMG00000034345.2 ncRNA_host NA NA NA NA NA NA NA NA NA NA
23075 MASP2 chr1 11026523 11047239 20717 - HAVANA ENSG00000009724.17 protein_coding MASP2 2 HGNC:6902 OTTHUMG00000002121.2 NA NA NA NA NA NA NA NA NA NA NA
447042 RPRM chr2 153477338 153478762 1425 - HAVANA ENSG00000177519.4 protein_coding RPRM 2 HGNC:24201 OTTHUMG00000131905.2 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2967066 TNNT1 chr19 55132698 55149206 16509 - HAVANA ENSG00000105048.18 protein_coding TNNT1 2 HGNC:11948 OTTHUMG00000180542.8 NA NA NA NA ENSG00000105048.17 NA NA NA NA NA NA
3283735 MT.ND1 chrM 3307 4262 956 + ENSEMBL ENSG00000198888.2 protein_coding MT-ND1 3 HGNC:7455 NA NA NA NA NA NA NA NA NA NA NA NA
671257 GRAMD1C chr3 113828182 113947174 118993 + HAVANA ENSG00000178075.20 protein_coding GRAMD1C 1 HGNC:25252 OTTHUMG00000159340.5 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1361734 DEFA1 chr8 6977649 6980092 2444 - HAVANA ENSG00000206047.3 protein_coding DEFA1 2 HGNC:2761 OTTHUMG00000154594.1 NA NA NA NA NA NA NA NA NA NA NA
525389 KCNE4 chr2 223052190 223198399 146210 + HAVANA ENSG00000152049.7 protein_coding KCNE4 2 HGNC:6244 OTTHUMG00000133161.4 NA 223051814 NA 146586 ENSG00000152049.6 NA NA NA NA NA NA
3047177 FAM217B chr20 59933764 59948680 14917 + HAVANA ENSG00000196227.11 protein_coding FAM217B 2 HGNC:16170 OTTHUMG00000032873.4 NA NA NA NA NA NA NA NA NA NA NA
217406 FCGR2B chr1 161663143 161678654 15512 + HAVANA ENSG00000072694.22 protein_coding FCGR2B 2 HGNC:3618 OTTHUMG00000034470.7 NA 161663147 NA 15508 ENSG00000072694.21 NA NA NA NA NA NA
1040981 PHYKPL chr5 178208471 178232802 24332 - HAVANA ENSG00000175309.15 protein_coding PHYKPL 1 HGNC:28249 OTTHUMG00000130892.6 NA NA NA NA NA NA NA NA NA NA NA
1291665 LAMTOR4 chr7 100148912 100155944 7033 + HAVANA ENSG00000188186.11 protein_coding LAMTOR4 2 HGNC:33772 OTTHUMG00000154854.8 NA 100148907 NA 7038 ENSG00000188186.10 NA NA NA NA NA NA
1743165 PHLDA2 chr11 2928273 2929420 1148 - HAVANA ENSG00000181649.8 protein_coding PHLDA2 2 HGNC:12385 OTTHUMG00000010926.3 NA NA NA NA NA NA NA NA NA NA NA
1122273 SMAP1 chr6 70667776 70862011 194236 + HAVANA ENSG00000112305.15 protein_coding SMAP1 2 HGNC:19651 OTTHUMG00000014996.2 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1237954 MRPS24 chr7 43866558 43869893 3336 - HAVANA ENSG00000062582.14 protein_coding MRPS24 2 HGNC:14510 OTTHUMG00000023175.5 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1911298 CBL chr11 119206298 119313926 107629 + HAVANA ENSG00000110395.7 protein_coding CBL 2 HGNC:1541 OTTHUMG00000166170.7 NA NA NA NA NA NA NA NA NA NA NA
2685726 MARCHF10 chr17 62701314 62808344 107031 - HAVANA ENSG00000173838.12 protein_coding MARCHF10 2 HGNC:26655 OTTHUMG00000179192.4 NA NA NA NA NA NA NA NA NA NA NA
1911622 C1QTNF5 chr11 119338942 119340940 1999 - HAVANA ENSG00000223953.6 protein_coding C1QTNF5 2 HGNC:14344 OTTHUMG00000166198.4 overlapping_locus NA NA NA NA NA NA NA NA NA NA
